Id,ActivityTypeOrg,ActivityType,Executable,DisplayText,ContentInfo,Payload,ClipboardPayload,StartTime,EndTime,Duration,LastModifiedTime,LastModifiedTimeOnClient,CreatedTime,ExpirationTime,OperationExpirationTime,OperationOrder,AppId,OperationType,Description,PlatformDeviceId,DevicePlatform,TimeZone
a94f8b1e-06b7-6b1c-e085-8feffe145a80,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-06 10:08:26,,,2024-12-06 10:08:26,2024-12-06 10:08:27,2024-12-06 10:08:26,2031-12-05 10:08:27,2024-12-06 10:07:26,3,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
a563fc41-d743-e014-bdff-411abb7116ef,11,11,Microsoft.Default.Input,,,(Binary data),,2024-12-06 10:08:26,,,2024-12-06 10:08:26,2024-12-06 10:08:26,2024-12-06 10:08:26,2031-12-05 10:08:26,2024-12-06 10:07:26,5,"[{""application"":""Microsoft.Default.Input"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
bfe65f95-3702-d062-dfb4-c1a9312854a4,11,11,MicrosoftDevice.Default.QuietHoursSettings,,,(Binary data),,2024-12-06 10:09:09,,,2024-12-06 10:09:09,2024-12-06 10:09:10,2024-12-06 10:09:09,2031-12-05 10:09:10,2024-12-06 10:08:09,7,"[{""application"":""MicrosoftDevice.Default.QuietHoursSettings"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
4b517c4b-9d6b-2e12-8de5-96e9dea1bc1a,11,11,MicrosoftDevice.Default.QuietMoment,,,(Binary data),,2024-12-06 10:09:09,,,2024-12-06 10:09:09,2024-12-06 10:09:12,2024-12-06 10:09:09,2031-12-05 10:09:12,2024-12-06 10:08:09,8,"[{""application"":""MicrosoftDevice.Default.QuietMoment"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
fc3e74c0-6b66-8194-6818-9889a3877e64,11,11,MicrosoftDevice.Default.QuietMoment,,,(Binary data),,2024-12-06 10:09:09,,,2024-12-06 10:09:09,2024-12-06 10:09:14,2024-12-06 10:09:09,2031-12-05 10:09:14,2024-12-06 10:08:09,9,"[{""application"":""MicrosoftDevice.Default.QuietMoment"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
8bd0075d-cc90-af11-4b35-279fddf077c5,11,11,MicrosoftDevice.Default.QuietMoment,,,(Binary data),,2024-12-06 10:09:09,,,2024-12-06 10:09:09,2024-12-06 10:09:18,2024-12-06 10:09:09,2031-12-05 10:09:18,2024-12-06 10:08:09,12,"[{""application"":""MicrosoftDevice.Default.QuietMoment"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
726f3a49-e24d-bc63-2a33-92409ed3eaeb,11,11,MicrosoftDevice.Default.QuietMoment,,,(Binary data),,2024-12-06 10:09:10,,,2024-12-06 10:09:10,2024-12-06 10:09:22,2024-12-06 10:09:10,2031-12-05 10:09:22,2024-12-06 10:08:10,13,"[{""application"":""MicrosoftDevice.Default.QuietMoment"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
2414dc00-c362-d844-b2c8-560c35e97616,11,11,MicrosoftDevice.Default.QuietMoment,,,(Binary data),,2024-12-06 10:09:10,,,2024-12-06 10:09:10,2024-12-06 10:09:24,2024-12-06 10:09:10,2031-12-05 10:09:24,2024-12-06 10:08:10,14,"[{""application"":""MicrosoftDevice.Default.QuietMoment"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
c66050c2-1582-b0bd-2858-d0a058805db5,11,11,MicrosoftDevice.Default.QuietMoment,,,(Binary data),,2024-12-06 10:09:10,,,2024-12-06 10:09:10,2024-12-06 10:09:28,2024-12-06 10:09:10,2031-12-05 10:09:28,2024-12-06 10:08:10,16,"[{""application"":""MicrosoftDevice.Default.QuietMoment"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
1e45de26-173b-5bee-d4c9-9381cdf27d18,11,11,MicrosoftDevice.Default.QuietMoment,,,(Binary data),,2024-12-06 10:09:10,,,2024-12-06 10:09:10,2024-12-06 10:09:30,2024-12-06 10:09:10,2031-12-05 10:09:30,2024-12-06 10:08:10,17,"[{""application"":""MicrosoftDevice.Default.QuietMoment"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
